author,bookformat,desc,genre,img,isbn,isbn13,link,pages,rating,reviews,title,totalratings
David Maine,Paperback,"""Noe says, -I must build a boat.,-A boat, she says.,-A ship, more like. I'll need the boys to help, he adds as an afterthought.,-We're leagues from the sea, she says, or any river big enough to warrant a boat.,This conversation is making Noe impatient. -I've no need to explain myself to you.,-And when you're done, she says carefully, we'll be taking this ship to the sea somehow?,As usual, Noe's impatience fades quickly. -We'll not be going to the sea. The sea will be coming to us."",In this brilliant debut novel, Noah's family (or Noe as he's called here)-his wife, sons, and daughters-in-law-tell what it's like to live with a man touched by God, while struggling against events that cannot be controlled or explained. When Noe orders his sons to build an ark, he can't tell them where the wood will come from. When he sends his daughters-in-law out to gather animals, he can offer no directions, money, or protection. And once the rain starts, they all realize that the true test of their faith is just beginning. Because the family is trapped on the ark with thousands of animals-with no experience feeding or caring for them, and no idea of when the waters will recede. What emerges is a family caught in the midst of an extraordinary Biblical event, with all the tension, humanity-even humor-that implies.","Fiction,Historical,Historical Fiction,Religion,Biblical Fiction,Novels,Biblical,Historical,Humor,Fantasy,Mythology,Audiobook",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316637488l/100223.jpg,312328486,9780000000000,https://goodreads.com/book/show/100223.The_Preservationist,256,3.62,229,The Preservationist,1443
Doug Wright,Paperback,"(Applause Libretto Library). Grey Gardens is based on the 1975 Albert and David Maysles film about Jacqueline Kennedy Onassis's eccentric aunt and cousin. The touching and sometimes heart-wrenching musical adaptation explores the dysfunctional relationship between former socialite Edith Bouvier Beale and her daughter, Little Edie, as they languish in a derelict East Hampton manor, Grey Gardens. Propelled by Christine Ebersole's tour-de-force performance, the gorgeous score, and intricate lyrics, the Broadway musical has garnered much critical praise. ""An experience no passionate theatergoer should miss."" Ben Brantley, The New York Times","Plays,Plays,Theatre,Music,Musicals,Historical,Historical Fiction,Drama,Music",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439176196l/1002263._SY475_.jpg,1557837341,9780000000000,https://goodreads.com/book/show/1002263.Grey_Gardens,149,4.13,8,Grey Gardens,118
Katie Fforde,Hardcover,"Sian Bishop has only ever experienced one moment of recklessness – a moment that resulted in her beloved son Rory. It’s not that she doesn’t love the outcome of that wild night, but since then she has always taken the safer route. So when dependable, devoted Richard suggests a move to the beautiful English countryside, she leaves the hustle and bustle of the city behind, and she throws herself into the picture-postcard cottage garden, her furniture restoration business, and a new life in the country.,Her good intentions are torpedoed on a glorious summer’s evening with the arrival of Gus Berresford. One-time explorer and full-time heartbreaker, Gus is ridiculously exciting, wonderfully glamorous and a completely inappropriate love interest for a single mum. But Gus and Sian have met before…,Sian has no use for a fling, she simply mustn’t fall in love with the most unlikely suitor ever to cross her path – even if he has now crossed her path twice. But who knows what can happen in a summer of love…","Womens Fiction,Chick Lit,Romance,Fiction,Contemporary,Romance,Contemporary Romance,European Literature,British Literature,Adult,Roman,Womens Fiction,Family",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328037679l/10022673.jpg,1846056500,9780000000000,https://goodreads.com/book/show/10022673-summer-of-love,376,3.92,301,Summer of Love,4812
Larry P. Bailey,Paperback,"Financial professionals who work with state or local governments must stay current with emerging governmental standards or face some unfortunate consequences. This one-of-a-kind tool discusses all the promulgated accounting principles applicable to financial reporting by state and local governments. Readers will get a thorough analysis of GASB Statements, GASB Interpretations, GASB Technical Bulletins, NCGA Statements, NCGA Interpretations, and certain AICPA Statements of Position and Audit and Accounting Guides. Everything has been analyzed and restated in plain English and is supported by time-saving examples and illustrations. Professionals will even have the opportunity to earn up to 40 credit hours of low-cost CPE.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328038307l/10022732.jpg,156063174,9780000000000,https://goodreads.com/book/show/10022732-miller-governmental-gaap-guide,1400,5,0,Miller Governmental GAAP Guide: A Comprehensive Interpretation of All Current Promulgated Governmental Generally Accepted Accounting Principles for St,1
Ida Gerhardt,Hardcover,"De lijst met prijzen die Ida Gerhardt (1905-1997) voor haar gedichten heeft gekregen volstaat om haar unieke statuur te bewijzen.,De Lucy B. en C.W. van der Hoogtprijs, de Herman Gorterprijs (driemaal), de Culturele Prijs van de Gemeente Arnhem, de Marianne Philipsprijs, de Prijs voor Meesterschap van de Maatschappij der Nederlandse Letterkunde, de Literaire Prijs van de Provincie Gelderland en de P.C.Hooftprijs. Voor haar vertalingen kreeg zij de Martinus Nijhoffprijs.,Deze dertiende druk van Verzamelde gedichten is fraai vormgegeven door Brigitte Slangen, en zal de komende jaren ongetwijfeld weer vele lezers voor zich weten te winnen.","Poetry,European Literature,Dutch Literature",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1293313255l/10022760.jpg,,9790000000000,https://goodreads.com/book/show/10022760-verzamelde-gedichten,796,4.24,1,Verzamelde gedichten,46
Michael Ryan,Hardcover,"This is the first comprehensive multi-volume encyclopedia of literary and cultural theory. Arranged in three volumes covering Literary Theory from 1900 to 1966, Literary Theory from 1966 to the present, and Cultural Theory, this encyclopedia provides accessible entries on the important concepts, theorists and trends in post-1900 literary and cultural theory. With explanations of complex terms and important theoretical concepts, and summaries of the work and ideas of key figures, it is a highly informative reference work for a multi-disciplinary readership Part of the ,Wiley-Blackwell Encyclopedia of Literature,Contains over 300 entries of 1000-7000 words written by an international cast of nearly 300 leading scholars in literary and cultural theory Provides explanations of complex terms, important theoretical concepts, and tools for critical analysis Provides summaries of the work and ideas of key figures such as Jacques Derrida, Michel Foucault, Judith Butler, and Slavoj Zizek, and many more Online version provides students and researchers with 24/7 access to authoritative reference and powerful searching, browsing and cross-referencing capabilities Special introductory price available",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347876916l/10022848.jpg,1405183128,9780000000000,https://goodreads.com/book/show/10022848-the-encyclopedia-of-literary-and-cultural-theory,1544,3.5,1,The Encyclopedia of Literary and Cultural Theory,2
Kader Parahoo,Paperback,"Nursing is now a research-based profession. This means that all students need to become acquainted with the principles and terminology of research, and understand its relevance to a 'practical' discipline such as nursing.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356057912l/1002284.jpg,333987276,9780000000000,https://goodreads.com/book/show/1002284.Nursing_Research,0,4.03,1,"Nursing Research: Principles, Process And Issues",29
Andrew Bradstock,Paperback,"""The present state of the old world is running up like parchment in the fire."" So declaimed Gerrard Winstanley, charismatic leader of radical religious group the Diggers, in mid-seventeenth century England: one of the most turbulent periods in that country's history. As three civil wars divided and slaughtered families and communities, as failing harvests and land reforms forced many to the edge of starvation, and as longstanding institutions like the House of Lords, the Established Church and even the monarchy were unceremoniously dismantled, so a feverish sense of living on the cusp of a new age gripped the nation. ,Radical Religion in Cromwell's England, is the first genuinely concise and accessible history of the fascinating ideas and popular movements which emerged during this volatile period. Names like the ""Ranters,"" ""Seekers,"" ""Diggers,"" ""Muggletonians"" and ""Levellers"" convey something of the exoticism of these associations, which although loose-knit, and in some cases short-lived, impacted on every stratum of society. Andrew Bradstock critically appraises each group and its ideas, taking into account the context in which they emerged, the factors which influenced them, and their significance at the time and subsequently. The role of political, religious, economic and military factors in shaping radical opinion is explored in full, as is the neglected contribution of women to these movements. Drawing on the author's long study of the topic, ,Radical Religion in Cromwell's England, brings a remarkable era to vivid and colorful life.",History,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1315694755l/10022889.jpg,1845117654,9780000000000,https://goodreads.com/book/show/10022889-radical-religion-in-cromwell-s-england,224,3.89,1,Radical Religion in Cromwell's England: A Concise History from the English Civil War to the End of the Commonwealth,9
"Nicholas A. Veronico,George Hall",Paperback,Amazing gallery of color photography showcases the world's jetliners and airline liveries.,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387715225l/1002304.jpg,760302154,9780000000000,https://goodreads.com/book/show/1002304.Airliners_in_Flight,0,4.5,1,Airliners in Flight: Gallery of Air to Air-Photography: Gallery of Air to Air-Photography,2
"Donna  Campbell,Nicholas A. Veronico,John M. Campbell",Paperback,,Aviation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266693025l/1002306.jpg,879388544,9780000000000,https://goodreads.com/book/show/1002306.F4U_Corsair,144,4.75,0,"F4U Corsair: Combat, Development and Racing History of the Corsair",4
